ticker,pe (ttm),price to nca,price to net cash,current ratio,dividend yield %
MSN,--,0.45,0.5,9.75,--
TTA.AX,--,0.42,-0.89,2.68,--
CLT.AX,--,0.86,-0.75,1.62,--
VP7.AX,--,2.37,-0.12,1.05,--
DLC.AX,--,1.19,-20.17,2.98,--
IRC.MI,--,0.55,-0.61,1.94,--
ALCOF.PA,--,0.49,-1.39,1.89,2.9
GIRO.PA,37.52,0.68,-0.54,1.58,--
ALTRI.PA,--,0.67,1.15,6.49,--
8436.HK,2.47,0.58,1.53,3.85,--
1637.HK,5.53,0.68,12.19,2.67,4.72
8465.HK,16.25,0.73,-15.73,7.49,--
1710.HK,35.98,0.75,-4.61,2.43,8.42
1085.HK,11.1,0.55,1.63,3.74,1.49
0889.HK,75.1,0.58,0.97,4.57,3.51
0320.HK,25.27,0.43,-0.43,1.6,3.97
8079.HK,--,0.23,1.75,13.33,--
0869.HK,--,0.32,0.36,6.21,--
8006.HK,--,0.39,1.19,2.67,--
0442.HK,--,0.67,1.16,9.21,--
2714.T,9.56,0.62,-0.47,1.52,4.01
6898.T,--,1.55,10.06,2.31,--
7927.T,17.44,1.07,-1.43,1.33,3.64
3131.T,18.22,0.57,-0.37,1.37,3.28
1793.T,9.26,0.53,-18.56,2.48,3.31
6467.T,19.14,1.13,-3.99,1.75,4.25
5280.T,5.81,0.82,-0.49,1.56,4.5
7435.T,13.14,1.15,-0.88,1.43,2.21
1736.T,7.54,1.46,-9.16,1.87,3.79
4627.T,9.17,0.78,2.44,3.29,3.56
5820.T,8,0.74,-0.71,1.57,4.11
9867.T,8.49,1.42,-35.06,1.82,0.64
1905.T,11.66,0.71,1.68,2.78,3.95
6637.T,5.96,0.73,-6.75,2.31,1.57
7399.T,9.41,0.71,7.23,2.21,1.96
1758.T,8.02,1.33,-3.9,1.86,2.01
6863.T,9.66,0.82,2.76,4.94,4.16
2750.T,29.4,2.73,-0.24,1.07,2.44
7472.T,11.93,1.14,23.18,2.3,4.58
5971.T,17.66,0.67,1.07,5.33,2.25
7877.T,37.83,0.73,-5.98,2.19,4.39
6648.T,10.29,1.09,2.94,2.88,3.16
2917.T,26.33,0.51,-1.32,3.15,1.97
